Gender;Age;Employment Status;Education;Matrial Status;Income;LoanApproved
Male;27;Full time;High;Single;Medium;Yes 
Male;60;Full time;Medium;Married;High;No
Male;25;Full time;High;Single;Medium;No
Male;35;Full time;High;Single;High;Yes 
Female;50;Unemployed;Low;DP;Medium;No
Female;24;Full time;High;Single;Medium;No
Male;25;Full time;High;Single;Medium;Yes 
Female;31;Full time;High;DP;High;Yes 
Male;28;Full time;Low;Married;High;No
Male;22;Full time;High;DP;Medium;Yes 
Male;62;Retired;Low;DP;Medium;No
Male;28;Full time;Medium;DP;Medium;No
Female;38;Full time;High;Single;Medium;Yes 
Male;32;Part time;Low;Single;Low;No
Male;57;Retired;High;Divorced;Low;Yes 
Male;33;Full time;Medium;Married;Medium;No
Female;42;Full time;Medium;Single;Medium;Yes 
Female;33;Part time;Low;Married;Medium;Yes 
Male;43;Full time;Medium;DP;Medium;Yes 
Male;25;Full time;Medium;Single;Medium;Yes 
Male;37;Full time;High;Single;High;Yes 
Female;39;Unemployed;High;Married;High;Yes 
Female;21;A student;High;Single;High;Yes 
Male;59;Self employed;High;Divorced;High;Yes 
Female;38;Full time;High;Married;Medium;No
Male;31;Full time;Low;Single;Medium;Yes 
Male;62;Retired;Medium;Married;Medium;No
Male;48;Full time;High;Married;Medium;Yes 
Female;26;Full time;High;Single;High;No
Male;48;Full time;High;Married;Medium;No
Female;50;Full time;Medium;Married;High;No
Female;34;Unemployed;High;Married;Medium;Yes 
Female;49;Unemployed;Medium;Married;High;No
Female;44;Full time;Low;Single;Low;No
Female;59;Full time;High;Widowed;High;No
Male;45;Full time;High;Married;High;No
Male;43;Full time;Medium;DP;High;No
Female;34;Unemployed;Low;Married;Medium;No
Male;26;Part time;Low;Single;Medium;No
Female;35;Full time;Low;Single;Medium;Yes 
Female;62;Self employed;Low;Married;Medium;No
Male;40;Self employed;Low;Married;Medium;Yes 
Male;49;Self employed;High;Married;Medium;Yes 
Female;35;Unemployed;Low;Single;High;Yes 
Male;60;Full time;High;Married;High;No
Female;56;Self employed;High;Married;High;No
Female;29;Full time;High;DP;Medium;Yes 
Male;33;Full time;Medium;Married;High;No
Female;25;Full time;High;DP;High;Yes 
Female;56;Unemployed;Low;Widowed;Low;No
Female;20;A student;Medium;Single;Low;Yes 
Female;58;Unemployed;Low;Married;Medium;Yes 
Female;41;Full time;High;Married;High;No
Male;27;Full time;Medium;Single;Medium;No
Male;55;Unemployed;Low;Married;Medium;Yes 
Female;50;Full time;Medium;Single;Medium;Yes 
Female;25;Full time;Medium;Single;Medium;No
Female;49;Part time;Medium;Married;High;No
Male;58;Retired;High;Single;Low;No
Male;39;Full time;High;Married;Medium;No
Male;29;Unemployed;Low;DP;Medium;Yes 
Female;52;Part time;High;Single;Low;No
Female;22;Full time;High;DP;High;Yes 
Male;34;Full time;High;Married;High;No
Male;31;Full time;High;Married;Medium;Yes 
Male;60;Full time;High;Widowed;High;No
Female;60;Retired;Medium;Married;High;Yes 
Male;45;Full time;High;Married;High;Yes 
Male;52;Full time;High;Married;High;No
Female;56;Unemployed;Low;Single;Medium;Yes 
Male;52;Self employed;High;Married;High;No
Male;33;Full time;Medium;Married;High;Yes 
Male;64;Retired;High;Married;High;No
Female;40;Part time;Low;Single;Medium;Yes 
Male;22;Full time;High;Single;High;Yes 
Male;26;Full time;High;Divorced;Medium;No
Male;45;Full time;High;Married;Medium;Yes 
Male;58;Retired;High;Single;Low;Yes 
Male;23;Full time;Low;DP;Medium;Yes 
Male;54;Self employed;High;Divorced;Medium;No
Female;25;Unemployed;High;DP;Medium;No
Male;30;Full time;Medium;Single;Medium;No
Female;38;Full time;High;Married;High;Yes 
Female;36;Unemployed;High;Married;Medium;Yes 
Male;56;Self employed;Medium;Married;High;No
Female;63;Full time;Low;Divorced;Medium;No
Male;62;Full time;Low;Married;Medium;No
Male;58;Full time;Medium;Married;High;No
Female;57;Retired;High;Married;Medium;No
Female;27;Part time;Medium;Divorced;Medium;Yes 
Female;42;Unemployed;Medium;Married;Medium;Yes 
Female;41;Unemployed;Low;DP;Medium;No
Female;56;Full time;Medium;Divorced;High;No
Male;23;Full time;High;Married;High;Yes 
Female;55;Unemployed;Low;Widowed;Low;No
Female;48;Full time;Medium;Married;High;Yes 
Male;37;Full time;Low;Single;Medium;No
Male;35;Full time;High;Married;High;Yes 
Female;51;Full time;Low;Divorced;Medium;Yes 
Male;32;Full time;High;Married;Medium;Yes 
Male;48;Self employed;Low;Divorced;Low;Yes 
Male;31;Full time;Low;Single;Low;Yes 
Male;41;Full time;Medium;Married;High;No
Male;61;Unemployed;Low;Married;High;No
Female;33;Unemployed;High;Married;High;Yes 
Male;59;Retired;High;Married;High;No
Male;28;Full time;Medium;Married;High;No
Male;60;Full time;Low;Married;High;No
Male;61;Full time;Low;Married;Medium;Yes 
Female;43;Full time;Medium;Divorced;Medium;Yes 
Male;53;Self employed;Medium;Married;High;Yes 
Female;60;Part time;Low;Divorced;Low;No
Female;41;Unemployed;Low;DP;Medium;No
Male;64;Full time;Low;Married;High;No
Female;64;Retired;High;Married;Medium;Yes 
Female;51;Full time;High;Divorced;Medium;No
Female;63;Full time;High;Married;High;Yes 
Male;34;Full time;High;Single;Medium;No
Female;48;Unemployed;High;Single;Low;No
Male;57;Retired;Low;Married;Medium;No
Female;53;Self employed;Medium;Divorced;High;No
Female;52;Unemployed;Low;Married;Medium;Yes 
Female;40;Unemployed;Medium;Married;Medium;Yes 
Male;42;Full time;High;Married;Medium;No
Female;49;Full time;Low;Married;Medium;No
Female;51;Full time;Medium;Married;High;Yes 
Female;61;Self employed;Low;Divorced;Low;Yes 
Female;58;Retired;Medium;Married;Medium;Yes 
Male;29;Full time;Low;DP;Medium;Yes 
Male;30;Full time;High;DP;Medium;No
Female;51;Unemployed;High;Married;High;No
Female;24;Unemployed;Medium;DP;Medium;Yes 
Female;39;Unemployed;Medium;Married;High;No
Female;46;Full time;Low;Divorced;Medium;No
Male;53;Retired;Low;Divorced;Medium;No
Female;53;Part time;Medium;Divorced;High;No
Female;26;Full time;High;DP;Medium;No
Male;50;Full time;Low;Married;Medium;Yes 
Female;64;Retired;High;DP;Medium;Yes 
Male;31;Full time;High;Married;High;No
Male;62;Self employed;High;Married;High;No
Female;30;Part time;Low;Single;Low;No
Female;59;Full time;Medium;Married;Medium;Yes 
Male;43;Full time;High;Married;Medium;Yes 
Male;59;Unemployed;High;Single;Medium;Yes 
Male;51;Full time;Low;Married;High;Yes 
Female;51;Part time;High;Divorced;Low;No
Female;32;Part time;Medium;Divorced;Medium;Yes 
Female;57;Self employed;High;Single;Low;Yes 
Female;61;Retired;Medium;Married;Medium;No
Female;62;Retired;Medium;Married;Medium;No
Female;20;A student;Medium;Single;High;No
Female;50;Full time;Low;Single;High;Yes 
Male;46;Full time;High;Married;High;Yes 
Male;48;Full time;High;Married;Medium;No
Male;59;Self employed;Low;Married;High;Yes 
Male;64;Prefer not to answer;High;Married;Medium;Yes 
Male;44;Full time;Low;Single;High;No
Female;37;Prefer not to answer;Low;Married;Medium;Yes 
Male;51;Part time;Low;Married;Medium;No
Male;52;Full time;High;DP;Medium;Yes 
Male;63;Retired;High;Married;Low;No
Male;63;Full time;High;Married;High;No
Female;57;Full time;Low;Married;High;Yes 
Female;29;Part time;High;DP;Medium;Yes 
Female;49;Full time;Low;Married;High;Yes 
Male;41;Full time;High;DP;High;Yes 
Male;47;Full time;High;Single;Medium;Yes 
Male;50;A student;Medium;DP;Medium;Yes 
Female;51;Retired;High;Married;High;Yes 
Female;54;Part time;Low;Married;Medium;No
Female;64;Retired;Low;Married;Medium;No
Female;20;A student;Medium;Single;Medium;Yes 
Male;21;A student;Medium;Single;Medium;No
Male;52;Full time;Low;Married;Medium;Yes 
Female;61;Part time;Low;Married;Low;Yes 
Female;49;Unemployed;Low;Married;High;Yes 
Female;59;Retired;High;Married;Medium;Yes 
Male;47;Part time;Low;Single;Low;Yes 
Male;62;Retired;High;Married;Low;Yes 
Male;38;Full time;Medium;Married;High;Yes 
Female;23;Full time;High;DP;High;No
Male;44;Full time;High;Single;High;No
Male;62;Retired;Low;Married;Low;No
Female;59;Full time;Medium;Divorced;Medium;No
Female;28;Unemployed;Low;Single;Low;No
Female;47;Full time;Low;Married;Medium;Yes 
Male;63;Self employed;High;Married;High;No
Female;52;Unemployed;High;Single;Low;Yes 
Male;61;Full time;Medium;DP;Medium;Yes 
Female;62;Full time;High;Married;High;Yes 
Male;49;Full time;High;Divorced;High;Yes 
Male;42;Full time;Low;Single;Medium;Yes 
Female;54;Retired;Low;Married;Medium;No
Male;57;Unemployed;Low;DP;Low;Yes 
Female;56;Full time;Medium;DP;Medium;Yes 
Female;58;Unemployed;Low;Married;Medium;Yes 
Male;64;Retired;Medium;Married;Medium;Yes 
Female;56;Retired;Low;Married;Low;Yes 
Male;61;Full time;Medium;Married;Medium;Yes 
Male;64;Retired;High;Married;Low;No
Female;59;Unemployed;Medium;Divorced;Low;Yes 
Male;43;Full time;High;Married;High;Yes 
Male;48;Full time;High;DP;High;Yes 
Male;57;Full time;Medium;Married;High;No
Female;20;A student;Medium;DP;Medium;Yes 
Female;44;Full time;High;Married;Medium;No
Female;51;Self employed;High;Married;High;No
Female;59;Retired;Low;Divorced;Medium;No
Female;35;Unemployed;High;Married;High;Yes 
Male;31;Full time;High;DP;High;No
Male;53;Retired;Low;Married;High;No
Female;33;Full time;Low;Married;Medium;No
Female;55;Part time;Low;Married;Medium;Yes 
Male;61;Retired;Medium;Divorced;High;Yes 
Female;61;Unemployed;Low;Divorced;Low;Yes 
Female;23;Full time;High;Single;High;No
Male;42;Full time;High;Married;Low;Yes 
Female;50;Full time;Low;Married;Medium;Yes 
Female;62;Unemployed;Low;Married;Medium;No
Female;43;Full time;High;Married;High;Yes 
Male;64;Full time;High;Divorced;High;No
Female;35;Part time;High;Married;High;Yes 
Male;63;Part time;Medium;Married;High;No
Male;34;Full time;High;Single;Medium;Yes 
Female;57;Self employed;High;Married;High;No
Female;43;Full time;High;Single;High;Yes 
Female;41;Unemployed;Medium;Single;Low;Yes 
Male;56;Full time;Low;Married;Medium;Yes 
Male;31;Self employed;High;Single;High;No
Female;50;Full time;High;Married;High;Yes 
Female;34;Full time;High;Married;High;Yes 
Female;30;Unemployed;High;DP;Medium;No
Male;20;A student;High;Single;Medium;No
Female;22;Part time;Medium;Married;Low;Yes 
Male;49;Full time;Medium;DP;Medium;No
Female;60;A student;High;Single;Low;Yes 
Female;28;Full time;Medium;Married;Medium;No
